1:42 43 44 45 46 47 
2:39 40 41 45 46 47 
3:38 40 41 43 44 47
4:37 39 41 42 44 47
5:37 38 40 42 46 47 
6:37 38 39 43 45 47
7:36 39 40 42 43 47 
8:36 38 41 42 45 47 
9:36 38 39 44 46 47
10:36 37 41 43 46 47
11:36 37 40 44 45 47
12:34 35 41 44 46 47
13:34 35 40 43 45 47
14:34 35 38 39 42 47
15:33 35 41 42 43 47
16:33 35 39 44 45 47
17:33 35 36 40 46 47
18:33 34 40 42 44 47
19:33 34 39 43 46 47
20:33 34 37 41 45 47
21:32 35 38 45 46 47
22:32 35 37 43 44 47
23:32 35 36 39 41 47
24:32 34 37 39 40 47
25:32 34 36 42 46 47
26:32 33 36 43 45 47
27:31 35 37 42 45 47
28:31 35 36 38 43 47
29:31 34 38 44 45 47
30:31 34 36 40 41 47
31:31 33 38 41 46 47
32:31 33 37 40 43 47
33:31 32 40 44 46 47
34:31 32 33 39 42 47
35:30 35 37 40 41 47
36:30 35 36 42 44 47
37:30 34 37 42 43 47
38:30 34 36 39 45 47
39:30 33 38 40 45 47
40:30 33 37 44 46 47
41:30 32 41 44 45 47
42:30 32 36 37 38 47
43:30 32 33 34 35 47
44:30 31 39 43 44 47
45:29 35 37 39 46 47
46:29 34 36 43 44 47
47:29 33 36 37 42 47
48:29 32 40 42 45 47
49:29 32 34 38 41 47
50:29 31 41 43 45 47
51:29 31 38 39 40 47
52:29 30 41 42 46 47
53:28 34 35 36 37 47
54:28 33 36 41 44 47
55:28 32 38 42 44 47
56:28 31 36 45 46 47
57:28 31 32 37 41 47
58:28 30 40 43 46 47
59:28 30 38 39 41 47
60:28 29 35 40 44 47
61:28 29 33 38 43 47
62:28 29 31 34 42 47
63:28 29 30 37 45 47
64:27 33 35 37 38 47
65:27 32 33 40 41 47
66:27 31 36 37 39 47
67:27 31 32 34 43 47
68:27 30 34 38 46 47
69:27 30 31 40 42 47
70:27 29 35 36 45 47
71:27 29 32 39 44 47
72:27 28 39 42 46 47
73:27 28 36 38 40 47
74:26 33 34 36 38 47
75:26 31 34 37 46 47
76:26 30 32 39 46 47
77:26 29 37 38 44 47
78:26 29 33 45 46 47
79:26 29 31 32 36 47
80:26 29 30 35 43 47
81:26 28 40 41 42 47
82:26 28 34 39 44 47
83:26 28 31 33 35 47
84:26 27 39 41 43 47
85:26 27 34 42 45 47
86:25 30 31 35 46 47
87:25 29 34 40 46 47
88:25 29 33 39 41 47
89:25 28 35 41 45 47
90:25 28 32 39 43 47
91:25 28 30 33 42 47
92:25 27 38 42 43 47
93:25 27 37 45 46 47
94:25 27 35 39 40 47
95:25 27 31 41 44 47
96:25 26 33 43 44 47
97:25 26 32 38 40 47
98:25 26 31 39 45 47
99:25 26 30 36 41 47
100:25 26 27 28 29 47  
101:24 30 31 33 36 47  
102:24 29 32 43 46 47
103:24 28 34 41 43 47  
104:24 28 33 39 40 47  
105:24 27 34 37 44 47
106:24 27 32 35 42 47  
107:24 27 30 43 45 47  
108:24 26 35 38 41 47
109:24 26 32 37 45 47  
110:24 26 31 42 44 47  
111:24 26 30 34 40 47
112:24 26 27 36 46 47  
113:24 25 32 36 44 47  
114:24 25 31 37 38 47
115:23 29 31 33 44 47  
116:23 29 30 36 40 47  
117:23 28 32 34 45 47
118:23 27 35 43 46 47  
119:23 27 30 33 39 47  
120:23 27 29 37 41 47
121:23 26 32 42 43 47  
122:23 26 30 31 38 47  
123:23 26 27 40 44 47
124:23 25 35 38 44 47  
125:23 25 34 41 42 47  
126:23 25 32 33 46 47
127:23 25 28 37 40 47  
128:23 24 39 42 45 47  
129:23 24 31 35 40 47
130:23 24 28 44 46 47  
131:22 28 29 36 39 47  
132:22 27 31 33 45 47
133:22 27 29 40 43 47  
134:22 27 28 30 44 47  
135:22 26 38 43 46 47
136:22 26 33 37 39 47  
137:22 25 32 37 42 47  
138:22 25 29 44 45 47
139:22 25 28 34 38 47  
140:22 24 35 39 43 47  
141:22 24 34 45 46 47
142:22 24 33 38 44 47  
143:22 24 25 40 41 47  
144:22 23 32 38 39 47
145:22 23 31 42 46 47  
146:22 23 30 41 43 47  
147:22 23 29 34 35 47
148:22 23 26 36 45 47  
149:21 27 29 33 34 47  
150:21 27 28 37 43 47
151:21 26 35 42 46 47  
152:21 26 28 38 45 47  
153:21 25 31 36 42 47
154:21 25 30 40 44 47  
155:21 25 29 32 35 47  
156:21 24 31 39 46 47
157:21 24 30 38 42 47  
158:21 24 29 41 44 47  
159:21 24 25 33 45 47
160:21 23 34 38 43 47  
161:21 23 30 45 46 47  
162:21 23 28 35 39 47
163:21 23 27 32 36 47  
164:21 23 26 33 41 47  
165:21 22 37 38 41 47
166:21 22 32 34 44 47  
167:21 22 29 30 31 47  
168:21 22 28 33 46 47
169:20 27 29 31 46 47  
170:20 26 29 39 42 47  
171:20 26 28 36 43 47
172:20 26 27 30 37 47  
173:20 25 31 33 34 47  
174:20 25 29 37 43 47
175:20 24 33 42 46 47  
176:20 24 29 38 45 47  
177:20 24 28 30 35 47
178:20 23 31 39 41 47  
179:20 23 30 34 44 47  
180:20 23 24 36 37 47
181:20 22 39 40 44 47  
182:20 22 32 41 46 47  
183:20 22 30 42 45 47
184:20 22 27 34 36 47  
185:20 22 25 26 35 47  
186:20 21 35 38 40 47
187:20 21 33 36 39 47  
188:20 21 31 37 44 47  
189:20 21 30 32 43 47
190:20 21 27 41 45 47  
191:19 25 30 37 39 47  
192:19 25 29 36 38 47
193:19 24 29 37 40 47  
194:19 24 28 36 42 47  
195:19 24 27 38 39 47
196:19 24 25 34 35 47  
197:19 23 33 38 42 47  
198:19 23 29 39 43 47
199:19 23 27 28 31 47  
200:19 23 26 35 37 47  
201:19 23 24 32 41 47
202:19 22 35 40 42 47  
203:19 22 34 39 41 47  
204:19 22 31 36 44 47
205:19 22 29 32 33 47  
206:19 22 28 43 45 47  
207:19 21 32 39 45 47
208:19 21 31 35 41 47  
209:19 21 28 34 40 47  
210:19 21 27 44 46 47
211:19 21 24 26 43 47  
212:19 21 22 23 25 47  
213:19 20 34 37 38 47
214:19 20 32 36 40 47  
215:19 20 31 42 43 47  
216:19 20 30 33 41 47
217:19 20 26 44 45 47  
218:19 20 25 28 46 47  
219:18 25 27 33 36 47
220:18 24 29 34 39 47  
221:18 23 29 38 46 47  
222:18 23 25 43 45 47
223:18 22 31 32 35 47  
224:18 22 30 36 46 47  
225:18 22 27 41 42 47
226:18 22 24 28 37 47  
227:18 22 23 33 40 47  
228:18 21 32 37 46 47
229:18 21 31 40 45 47  
230:18 21 30 34 41 47  
231:18 21 29 42 43 47
232:18 21 26 36 44 47  
233:18 21 25 38 39 47  
234:18 20 32 33 44 47
235:18 20 29 40 41 47  
236:18 20 28 39 45 47  
237:18 20 23 35 42 47
238:18 19 32 38 43 47  
239:18 19 30 35 45 47  
240:18 19 26 41 46 47
241:18 19 25 42 44 47  
242:18 19 23 34 36 47  
243:17 25 27 30 32 47
244:17 24 29 33 35 47  
245:17 23 27 38 45 47  
246:17 23 25 36 39 47
247:17 22 30 35 38 47  
248:17 22 28 32 40 47  
249:17 22 26 41 44 47
250:17 22 25 31 43 47  
251:17 21 32 41 42 47  
252:17 21 29 36 46 47
253:17 21 26 39 40 47  
254:17 21 25 34 37 47  
255:17 21 22 24 27 47
256:17 20 31 32 45 47  
257:17 20 28 37 42 47  
258:17 20 27 43 44 47
259:17 20 25 38 41 47  
260:17 20 23 40 46 47  
261:17 19 30 36 43 47
262:17 19 29 34 45 47  
263:17 19 26 27 33 47  
264:17 19 22 37 46 47
265:17 19 20 35 39 47  
266:17 18 34 38 40 47  
267:17 18 33 42 45 47
268:17 18 30 31 37 47  
269:17 18 28 35 46 47  
270:17 18 24 36 41 47
271:16 24 25 29 42 47  
272:16 23 24 33 43 47  
273:16 22 26 31 40 47
274:16 22 25 39 46 47  
275:16 22 24 30 32 47  
276:16 22 23 37 44 47
277:16 21 32 33 38 47  
278:16 21 28 30 36 47  
279:16 21 25 41 43 47
280:16 21 24 35 37 47  
281:16 21 23 40 42 47  
282:16 20 28 31 38 47
283:16 20 26 34 41 47  
284:16 20 25 40 45 47  
285:16 20 23 29 32 47
286:16 19 30 38 44 47  
287:16 19 28 33 37 47  
288:16 19 27 36 41 47
289:16 19 25 31 32 47  
290:16 18 31 43 46 47  
291:16 18 30 39 42 47
292:16 18 27 44 45 47  
293:16 18 26 28 32 47  
