1: 40 41 42 43 44 45 
2: 37 38 39 43 44 45 
3: 36 38 39 41 42 45 
4: 35 37 39 40 42 45 
5: 35 36 38 40 44 45 
6: 35 36 37 41 43 45 
7: 34 37 38 40 41 45 
8: 34 36 39 40 43 45 
9: 34 36 37 42 44 45 
10: 34 35 39 41 44 45 
11: 34 35 38 42 43 45 
12: 32 33 39 42 44 45 
13: 32 33 38 41 43 45 
14: 32 33 36 37 40 45 
15: 31 33 39 40 41 45 
16: 31 33 37 42 43 45 
17: 31 33 34 38 44 45 
18: 31 32 38 40 42 45 
19: 31 32 37 41 44 45 
20: 31 32 35 39 43 45 
21: 30 33 36 43 44 45 
22: 30 33 35 41 42 45 
23: 30 33 34 37 39 45 
24: 30 32 35 37 38 45 
25: 30 32 34 40 44 45 
26: 30 31 34 41 43 45 
27: 29 33 35 40 43 45 
28: 29 33 34 36 41 45 
29: 29 32 36 42 43 45 
30: 29 32 34 38 39 45 
31: 29 31 36 39 44 45 
32: 29 31 35 38 41 45 
33: 29 30 38 42 44 45 
34: 29 30 31 37 40 45 
35: 28 33 35 38 39 45 
36: 28 33 34 40 42 45 
37: 28 32 35 40 41 45 
38: 28 32 34 37 43 45 
39: 28 31 36 38 43 45 
40: 28 31 35 42 44 45 
41: 28 30 39 42 43 45 
42: 28 30 34 35 36 45 
43: 28 30 31 32 33 45 
44: 28 29 37 41 42 45 
45: 27 33 35 37 44 45 
46: 27 32 34 41 42 45 
47: 27 31 34 35 40 45 
48: 27 30 38 40 43 45 
49: 27 30 32 36 39 45 
50: 27 29 39 41 43 45 
51: 27 29 36 37 38 45 
52: 27 28 39 40 44 45 
53: 26 32 33 34 35 45 
54: 26 31 34 39 42 45 
55: 26 30 36 40 42 45 
56: 26 29 34 43 44 45 
57: 26 29 30 35 39 45 
58: 26 28 38 41 44 45 
59: 26 28 36 37 39 45 
60: 26 27 33 38 42 45 
61: 26 27 31 36 41 45 
62: 26 27 29 32 40 45 
63: 26 27 28 35 43 45 
64: 25 31 33 35 36 45 
65: 25 30 31 38 39 45 
66: 25 29 34 35 37 45 
67: 25 29 30 32 41 45 
68: 25 28 32 36 44 45 
69: 25 28 29 38 40 45 
70: 25 27 33 34 43 45 
71: 25 27 30 37 42 45 
72: 25 26 37 40 44 45 
73: 25 26 34 36 38 45 
74: 24 31 32 34 36 45 
75: 24 29 32 35 44 45 
76: 24 28 30 37 44 45 
77: 24 27 35 36 42 45 
78: 24 27 31 43 44 45 
79: 24 27 29 30 34 45 
80: 24 27 28 33 41 45 
81: 24 26 38 39 40 45 
82: 24 26 32 37 42 45 
83: 24 26 29 31 33 45 
84: 24 25 37 39 41 45 
85: 24 25 32 40 43 45 
86: 23 28 29 33 44 45 
87: 23 27 32 38 44 45 
88: 23 27 31 37 39 45 
89: 23 26 33 39 43 45 
90: 23 26 30 37 41 45 
91: 23 26 28 31 40 45 
92: 23 25 36 40 41 45 
93: 23 25 35 43 44 45 
94: 23 25 33 37 38 45 
95: 23 25 29 39 42 45 
96: 23 24 31 41 42 45 
97: 23 24 30 36 38 45 
98: 23 24 29 37 43 45 
99: 23 24 28 34 39 45 
100: 23 24 25 26 27 45 
101: 22 28 29 31 34 45 
102: 22 27 30 41 44 45 
103: 22 26 32 39 41 45 
104: 22 26 31 37 38 45 
105: 22 25 32 35 42 45 
106: 22 25 30 33 40 45 
107: 22 25 28 41 43 45 
108: 22 24 33 36 39 45 
109: 22 24 30 35 43 45 
110: 22 24 29 40 42 45 
111: 22 24 28 32 38 45 
112: 22 24 25 34 44 45 
113: 22 23 30 34 42 45 
114: 22 23 29 35 36 45 
115: 21 27 29 31 42 45 
116: 21 27 28 34 38 45 
117: 21 26 30 32 43 45 
118: 21 25 33 41 44 45 
119: 21 25 28 31 37 45 
120: 21 25 27 35 39 45 
121: 21 24 30 40 41 45 
122: 21 24 28 29 36 45 
123: 21 24 25 38 42 45 
124: 21 23 33 36 42 45 
125: 21 23 32 39 40 45 
126: 21 23 30 31 44 45 
127: 21 23 26 35 38 45 
128: 21 22 37 40 43 45 
129: 21 22 29 33 38 45 
130: 21 22 26 42 44 45 
131: 20 26 27 34 37 45 
132: 20 25 29 31 43 45 
133: 20 25 27 38 41 45 
134: 20 25 26 28 42 45 
135: 20 24 36 41 44 45 
136: 20 24 31 35 37 45 
137: 20 23 30 35 40 45 
138: 20 23 27 42 43 45 
139: 20 23 26 32 36 45 
140: 20 22 33 37 41 45 
141: 20 22 32 43 44 45 
142: 20 22 31 36 42 45 
