1: 1 2 3 4 5 6 
2: 1 2 3 7 8 9 
3: 1 4 5 7 8 10 
4: 1 4 6 7 9 11 
5: 1 2 6 8 10 11 
6: 1 3 5 9 10 11 
7: 1 5 6 8 9 12 
8: 1 3 6 7 10 12 
9: 1 2 4 9 10 12 
10: 1 2 5 7 11 12 
11: 1 3 4 8 11 12 
12: 1 2 4 7 13 14 
13: 1 3 5 8 13 14 
14: 1 6 9 10 13 14 
15: 1 5 6 7 13 15 
16: 1 3 4 9 13 15 
17: 1 2 8 12 13 15 
18: 1 4 6 8 14 15 
19: 1 2 5 9 14 15 
20: 1 3 7 11 14 15 
21: 1 2 3 10 13 16 
22: 1 4 5 11 13 16 
23: 1 7 9 12 13 16 
24: 1 8 9 11 14 16 
25: 1 2 6 12 14 16 
26: 1 3 5 12 15 16 
27: 1 3 6 11 13 17 
28: 1 5 10 12 13 17 
29: 1 3 4 10 14 17 
30: 1 7 8 12 14 17 
31: 1 2 7 10 15 17 
32: 1 5 8 11 15 17 
33: 1 2 4 8 16 17 
34: 1 6 9 15 16 17 
35: 1 7 8 11 13 18 
36: 1 4 6 12 13 18 
37: 1 5 6 11 14 18 
38: 1 3 9 12 14 18 
39: 1 3 8 10 15 18 
40: 1 2 4 11 15 18 
41: 1 3 4 7 16 18 
42: 1 10 11 12 16 18 
43: 1 13 14 15 16 18 
44: 1 4 5 9 17 18 
45: 1 2 9 11 13 19 
46: 1 4 5 12 14 19 
47: 1 6 11 12 15 19 
48: 1 3 6 8 16 19 
49: 1 7 10 14 16 19 
50: 1 3 5 7 17 19 
51: 1 8 9 10 17 19 
52: 1 2 6 7 18 19 
53: 1 11 12 13 14 20 
54: 1 4 7 12 15 20 
55: 1 4 6 10 16 20 
56: 1 2 3 12 17 20 
57: 1 7 11 16 17 20 
58: 1 2 5 8 18 20 
59: 1 7 9 10 18 20 
60: 1 4 8 13 19 20 
61: 1 5 10 15 19 20 
62: 1 6 14 17 19 20 
63: 1 3 11 18 19 20 
64: 1 10 11 13 15 21 
65: 1 7 8 15 16 21 
66: 1 9 11 12 17 21 
67: 1 5 14 16 17 21 
68: 1 2 10 14 18 21 
69: 1 6 8 17 18 21 
70: 1 3 12 13 19 21 
71: 1 4 9 16 19 21 
72: 1 2 6 9 20 21 
73: 1 8 10 12 20 21 
74: 1 10 12 14 15 22 
75: 1 2 11 14 17 22 
76: 1 2 9 16 18 22 
77: 1 4 10 11 19 22 
78: 1 2 3 15 19 22 
79: 1 12 16 17 19 22 
80: 1 5 13 18 19 22 
81: 1 6 7 8 20 22 
82: 1 4 9 14 20 22 
83: 1 13 15 17 20 22 
84: 1 5 7 9 21 22 
85: 1 3 6 14 21 22 
86: 1 2 13 17 18 23 
87: 1 2 8 14 19 23 
88: 1 7 9 15 19 23 
89: 1 3 7 13 20 23 
90: 1 5 9 16 20 23 
91: 1 6 15 18 20 23 
92: 1 5 6 10 21 23 
93: 1 2 3 11 21 23 
94: 1 8 9 13 21 23 
95: 1 4 7 17 21 23 
96: 1 4 5 15 22 23 
97: 1 8 10 16 22 23 
98: 1 3 9 17 22 23 
99: 1 7 12 18 22 23 
100: 1 19 20 21 22 23 
101: 1 12 15 17 18 24 
102: 1 2 5 16 19 24 
103: 1 5 7 14 20 24 
104: 1 8 9 15 20 24 
105: 1 4 11 14 21 24 
106: 1 6 13 16 21 24 
107: 1 3 5 18 21 24 
108: 1 7 10 13 22 24 
109: 1 3 11 16 22 24 
110: 1 4 6 17 22 24 
111: 1 8 14 18 22 24 
112: 1 2 12 21 22 24 
113: 1 4 12 16 23 24 
114: 1 10 11 17 23 24 
115: 1 4 15 17 19 25 
116: 1 8 12 18 19 25 
117: 1 3 14 16 20 25 
118: 1 2 5 13 21 25 
119: 1 9 15 18 21 25 
120: 1 7 11 19 21 25 
121: 1 5 6 16 22 25 
122: 1 10 17 18 22 25 
123: 1 4 8 21 22 25 
124: 1 4 10 13 23 25 
125: 1 6 7 14 23 25 
126: 1 2 15 16 23 25 
127: 1 8 11 20 23 25 
128: 1 3 6 9 24 25 
129: 1 8 13 17 24 25 
130: 1 2 4 20 24 25 
131: 1 9 12 19 20 26 
132: 1 3 15 17 21 26 
133: 1 5 8 19 21 26 
134: 1 4 18 20 21 26 
135: 1 2 5 10 22 26 
136: 1 9 11 15 22 26 
137: 1 6 11 16 23 26 
138: 1 3 4 19 23 26 
139: 1 10 14 20 23 26 
140: 1 5 9 13 24 26 
141: 1 2 3 14 24 26 
142: 1 4 10 15 24 26 
143: 1 7 8 23 24 26 
